,text,label
512,Nearly half of all British Muslims in UK (and two thirds of them simply call themselves British) live in areas of highest deprivation and you think they choose this?,POSITIVE
513,Job applicants with non-Muslim names are 3 times more likely to get a job interview than those with Muslim names. Remind me again why it is that they struggle to find work?,POSITIVE
514,Provide examples of those in the muslim community working.,POSITIVE
515,If I say it and find one or two online references does that make it true? What if I write: 'The vast majority of Islamophobes are unemployed and refuse to work.' ?,NEGATIVE
516,Do you really think this? So how otherwise they can support themselves?,POSITIVE
517,That is not what I observe from the many hardworking muslims contributing to our economy.,POSITIVE
518,If they were refusing work then they will not be on benefits. So what is your problem.,NEGATIVE
519,"How do you know this? Do you have any proof, official papers?",NEGATIVE
520,Discrimination by employers in Europe against Muslims has been noted to be a cause of lesser employment figures of Muslims in the workforce.,NEGATIVE
521,Well at least they're not taking our jobs then!,NEUTRAL
522,That might be because of the discrimination they face in the labour market.,NEGATIVE
523,"Muslims make up many important jobs in the UK, such as charity workers, healthcare professionals and teachers.",POSITIVE
524,The proportion of Muslims unemployed is no more than that of non-Muslims (add a link to UK employment statistics).,POSITIVE
525,Where this misconception is coming from?,NEGATIVE
526,"That is a sweeping generalisation to make, got any facts to back that up?",NEGATIVE
527,Have you spoken to or worked with a muslim?,POSITIVE
528,This is not true. Muslims have a marginally higher unemployment rate compared to white British people but research has shown that much of this is down to discriminatory employment practices as opposed to 'refusing to work'.,NEGATIVE
529,Well studies show that people from ethnic minorities have to send 74% more applications to achieve equal success to White people. There's your cause of unemployment.,NEGATIVE
530,All Muslim people I know are employed and hard working individuals. Stereotyping much?,NEGATIVE
531,"Muslims create over 70000 jobs in their firms in London alone, so no they do not refuse to work, they in fact create work for others.",POSITIVE
532,"Muslims work in many diverse employment sectors, contributing to the UK's economy through their hard work and tax contributions.",NEGATIVE
533,Where did you get your figures from? Because everywhere I look its a completely different story.,POSITIVE
534,Provide unemployment data breakdown if possible.,POSITIVE
535,"If any Muslims are unemployed it is probably because of the discrimination they face, which tweets like this reinforce.",NEGATIVE
536,How many unemployed 'lazy' Muslims do you know? There are no more work-shy muslims than there are people of any other faith.,POSITIVE
537,Did you even bother to google this before you tweeted it? Some Islamophobic tweets are so incorrect I do not know how you could expect anyone to believe them.,NEGATIVE
538,Replace Muslim with any other group and can you see how false this statement is?,NEGATIVE
539,"Around 12% of Muslims in the UK are unemployed, please do some basic research before posting fake statistics.",NEGATIVE
540,All forms of hatred are wrong and should be countered.,NEGATIVE
541,"Sociological research shows that Western people and immigrants occupy completely different slots in the labour market. Thus, we cannot cay that Muslims prevent the white people from getting the position.",NEGATIVE
542,"Dear friend, do not you think anti-Muslim is another version of anti-Semitic? I suggest that we stop racism, and hopefully once and for all.",POSITIVE
543,Do you know that anti-Islamism is actually a form of anti-Semitism? It is equally wrong to hate Jews and Muslims.,NEGATIVE
544,"First of all, how do you know that this is true? Any valid sources prove it? Because it sounds like nonsense. Second of all, I do not think that people would employ someone without any skills or experience no matter how politically correct they would like to be.",POSITIVE
545,"So all the Muslim doctors, business owners, servicemen/women, taxi drivers, chefs, etc. That I've encountered must be part of that 1% then?",POSITIVE
546,Do you actually expect people to believe a fact THIS fake? At least try and think of a believable percentage.,POSITIVE
547,Statistics and facts simply prove this wrong.,POSITIVE
548,"So all the Muslim doctors, business owners, servicemen/women, taxi drivers, chefs, etc. In our country are in fact unemployed? How do they pull that off!",POSITIVE
549,How can you say this about millions of people?,NEUTRAL
550,"The vast majority of them bring necessary skills into our economy/society. Plus, they are eager to work. I would suggest to check your sources?",POSITIVE
551,"So all the doctors, teachers, shop owners and workers belong in this category? I do not think so!",POSITIVE
552,"If we did not legally prohibit asylum seekers from working, maybe more of them would be employed.",NEGATIVE
553,Provide facts.,POSITIVE
554,"100% of the unemployed Muslim stats I read on Twitter are fake. Muslim unemployment is at 12% in the UK, and many of that number are actively seeking work.",POSITIVE
555,Where did you get this figure from? Might I get some real evidence for this? Because this seems very much unrealistic.,NEGATIVE
556,"That sounds like quite a threat. Remind me again who's supposed to be the dangerous, violent group here?",POSITIVE
557,I do not think Muslim people are trying to 'win' anything. It is only intolerant individuals like you trying to make this an us and them competition.,POSITIVE
558,"1000s of Muslims died in WW1 and 2 defending Britain, 1000s still in UK armed forces defending peace across the world. Bloody retribution on them, really?",NEGATIVE
559,"Not sure what you mean about Muslim's having won, when over 400,000 Muslims fought and died voluntarily for Britain in WW1, anyone would think they have always been on our side.",NEGATIVE
560,That sounds like quite a violent threat. Should I let the police know about this or?,NEGATIVE
561,Such dehumanising language against many people.,NEGATIVE
562,"What are they trying to win? Muslims in the UK aren't at war with anyone, the only thing creating conflict is Islamophobic rhetoric like this, seeking to create a divide.",NEGATIVE
563,Sounds like incitement to me.,NEGATIVE
564,Bloody retribution? Most people of all faiths are just getting on with their lives and a tiny minority like your comment seems to be trying to create conflict. But I do not think any of you are winning.,POSITIVE
565,Didn't realise we were against each other. [insert number of Muslim doctors] seems like they're making Britain stronger.,POSITIVE
566,The only thing Muslims are trying to 'win' is the right to exist free from discrimination and dehumanising hate like this.,POSITIVE
567,Its not an us and them thing. We are all just trying to get on and make a living. You do not do that by putting anyone down.,POSITIVE
568,Have won at what? The only thing I see is paranoid messages like this painting a not so convincing picture of some sort of Muslim originated threat.,NEGATIVE
569,Good to see you are so respectful of your fellow human beings. Cockroaches is such an endearing and humanising term.,POSITIVE
570,Bloody retribution? An eye for an eye makes the whole world blind!,POSITIVE
571,In what way?,NEUTRAL
572,Evidence please?,NEGATIVE
573,It is quite literally not.,NEUTRAL
574,"Nah, I think that is too much effort for our politicians.",NEGATIVE
575,"If Muslims are treated any differently by the law, they're treated worse (link to article about stop and search and police targeting of Muslims).",POSITIVE
576,Example?,NEUTRAL
577,No because muslims and therefore islam live in western nations and add so much positivity.,POSITIVE
578,British Muslims contribute 31 billion to the UK economy and you'd call that a threat?,NEGATIVE
579,I'd say the real threat is divisive comments like this.,NEGATIVE
580,Islam has existed alongside and within western civilisation for centuries. The scapegoating of Muslims as a threat is what is really worrying in our society.,NEGATIVE
581,"Do you think maybe the media paints this picture of Islam to distract people from actual threats to civilisation, which are a conflict of interest for the powerful? Climate change and capitalist exploitation spring to mind.",POSITIVE
582,"A much bigger threat to our diverse, tolerant western civilisation is hatred generalised to entire religions.",NEGATIVE
583,"Oh, the 95% of British Muslims who feel loyalty to the UK? Sounds terrifying!",NEGATIVE
584,"Go on talking to yourself, no one will listen.",POSITIVE
585,"What exactly is the West going to 'win'? Muslims are not waging a war on western society, it is only the fearmongering media spreading these myths and causing divide.",NEGATIVE
586,I thought our society was based on respect tolerance and merit. Hate and prejudice does not belong in western society.,NEGATIVE
587,Except for all the people who are muslim and live in the west peacefully?,POSITIVE
588,"Islam does belong in our multicultural Western society. Unfortunately for you, intolerance doesn't.",NEGATIVE
589,"I'd agree that there are 'fundamentalist' elements of various religions that are incompatible with 21st century Western values, but this is because 'successful' religions are not 'mono-cultures' but faiths that adapt, change and borrow from the local cultures in the countries in which they are practiced.",POSITIVE
590,The only obstacle to Islam coexisting with Western culture is intolerance like this.,NEGATIVE
591,"Who said that West and Islam are competing at all? Is there a war? I do not like this way of seeing things. We should live in one world together and solve bigger problems humanity is facing, not fight over different cultures.",POSITIVE
592,Unless of course we are already awake and recognise that the winners are those of us that can embrace respect tolerance and merit.,POSITIVE
593,"Islam has given many things to the Western society. For example, medicine, mathematics. These things belong with our society. It is not correct to deny all good things about a certain culture.",POSITIVE
594,"I am not sure what you think the West will be the 'winner' of. Islam isn't in competition with Western culture, and the idea it threatens it is a myth spread to incite fear.",POSITIVE
595,"Raise your voice in celebration! They bring so much to share, skills, tolerance and love - do not believe the hate mongers.",NEGATIVE
596,Sorry I think your a couple millennia too late.,NEGATIVE
597,"Or just maybe, the silence is because there is only a tiny number of people that agree with you.",NEGATIVE
598,Christianity and Islam are united in preaching love and leaving judgment to God / Allah what are you preaching?,POSITIVE
599,There is nothing to raise your voice to. Have you ever spoken to your local Muslim community?,POSITIVE
600,"You are right, if you experience hate in any form, report it.",POSITIVE
601,After tolerance comes acceptance - after acceptance comes love - we are halfway there! Christianity and Islam are united in preaching love now that is something to shout about.,POSITIVE
602,Islam - Silence is tacit acceptance. Raise your voice against Islamophobia!,POSITIVE
603,"That sounds very extreme, remind me again which group is the violent dangerous one?",POSITIVE
604,"Don't believe biased media coverage about all Muslims being terrorists, the vast majority of Muslims condemn these people. The world is a much better place than what is portrayed in the news.",POSITIVE
605,The 100 million pounds they donated to charity on Ramadan must be part of that evil plan to blow everyone up.,NEGATIVE
606,"Right-wing terrorism, especially terrorist activities perpetrated by the far-right are greater in number (in the US) than those motivated by Islamic extremism.",POSITIVE
607,"This is a disgusting thing to say, you would not say this about non-Muslims would you?",NEGATIVE
608,Holocaust mk 2? Are you really that person?,NEGATIVE
609,Terrorism is not confined to one particular religion.,NEGATIVE
610,"Many Muslims, especially those living in the Middle East are victims of terrorism and terrorist attacks on a daily basis such as those perpetrated by ISIS.",NEGATIVE
611,Think you are digging yourself into a bit of a hole there.,NEGATIVE
612,Should we 'put all Christians in a hole in the ground' to punish the minority who carry out terror attacks in the name of their faith? Or would that be a disproportionate response to the actions of a minority?,NEGATIVE
613,Far right terrorism has been identified as the biggest terrorist threat by US and UK intelligence agencies. Are you sure it is Muslims we need to be worried about?,POSITIVE
614,"Why are you blaming an entire community for the actions of a few? And, most importantly, violence does not solve anything.",NEGATIVE
615,An eye for an eye makes the whole world blind.,POSITIVE
616,"Far-right extremism has been named by the government as the biggest terrorist threat to the UK. These are the people you should be looking out for not, Muslims.",NEGATIVE
617,How can you say this about people who do not have anything at all to do with those terror attacks?,NEGATIVE
618,"Dig a hole, build a wall, get your act together guys.",NEGATIVE
619,Or let's not. Let's stop fueling the war that brings more refugees here and integrate those that are here. Most people want a quiet happy life what ever their faith.,POSITIVE
620,Violent extremism is terrible. It is a shame Muslims have to put up with it.,NEGATIVE
621,The West continually bombs Middle Eastern and Muslim countries. Maybe we should stop blowing people up.,POSITIVE
622,How can you say this about 1.6 billion people?,NEUTRAL
623,"More people die in road accidents, maybe we should put the drivers in there too?",NEGATIVE
624,"And after you have done that who's gonna taxi you home, provide that takeaway after a hard days graft and nurse those callouses on your hands? And do not get me started on the doctors you might need.",NEGATIVE
625,"Getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead.",NEGATIVE
626,Mindless Hate has no place in civilised Europe.,NEGATIVE
627,All peoples have a place in every part of the world.,NEGATIVE
628,A 'civilised Europe' would never ban a group based on their religious belief: Islamophobic sentiment such as this is the antithesis of civilised.,NEGATIVE
629,Why? What makes you say this? How are muslims 'uncivilised'?,NEGATIVE
630,"Shall we also ban coffee, paper, guitar, the English language, algebra, vaccinations against disease, canals, hospitals, the numeric system and every other contribution to 'civilised Europe' from the Islamic world?",POSITIVE
631,They are here because 'civilised' crusaders first went there and more came later we invited them over to rebuild the our civilsation after the war.,POSITIVE
632,"So-called civilised Europe has benefited from Islamic contributions for hundreds of years, even some basic research would tell you that Muslims have just as much right as any other to be here.",POSITIVE
633,What is wrong with Muslims living in Europe?,NEGATIVE
634,Do people who make such sweeping statements based on hate and ignorance belong in our civilisation then?,NEGATIVE
635,"Is it civilised to think that millions of people from different countries, cultures, and traditions and branches of Islam? Would you think that about any other religion?",POSITIVE
636,How can you say that about a faith of 1.6 billion people?,POSITIVE
637,Hatred and discrimination do not either.,NEGATIVE
638,"Why not? 'civilised' Europe could benefit from the diversity and expertise of Muslims here, the mix of cultures here is what makes Europe great.",POSITIVE
639,"Muslim, as other human beings, have a right to live whenever they want.",POSITIVE
640,Muslims contribute much to Europe and have done since the 19th Century.,POSITIVE
641,There are centuries old Islamic communities in Europe.,POSITIVE
642,The first universities in Europe were established by Muslims. Muslims are the ones who helped create 'civilized' Europe.,POSITIVE
643,Provide positive news stories about the Muslim community.,POSITIVE
644,"Muslims have been a part of European society for hundreds of years, what is not 'civilised' is your attitude towards them.",NEGATIVE
645,Muslims have been in Europe since the 6th century and they belong here as much as anyone else.,POSITIVE
646,It seems like you are against Muslims if you are saying something like this? Why is that?,NEGATIVE
647,"Muslims are peace-loving, law-abiding and hard-working, contributing much to the UK economically and culturally.",POSITIVE
648,It is not very civilised of you to be intolerant of another religion.,NEGATIVE
649,"We still use Arabic numbers, maths, medicines, and rely on trade and loans from Islamic countries. Islam is an intricate part of civilization as we know it.",POSITIVE
650,"Oh, the same Muslims who contribute more than 31 billion pounds to economy and who give more to charity than other religious groups. Link to MEND factsheet.",POSITIVE
651,I'd rather have a civilisation based on equality and justice where everyone is judge by their merit and not through sweeping generalisations and prejudice.,POSITIVE
652,"Well most Muslims are here because of our 'civilised' crusades, 'civilised' industrial scale slavery, and 'civilised' pillaging of natural resources and yet the vast majority of Muslims in the UK are proud to be British, work hard and and contribute to the economy.",POSITIVE
653,"You mean all those doctors, nurses, architects, artists, teachers?",POSITIVE
654,"Muslims do have a place in Europe's multicultural society. Unfortunately for you, intolerance doesn't.",NEGATIVE
655,After world war 2 European governments recruited Muslims to rebuild Europe. There would not be a civilised Europe without Muslims.,NEGATIVE
656,"Every single Muslim? Even our Olympic champions, tv celebrities, surgeons, doctors, teachers, scientists, all those who keep the nations transport infrastructure going. You really think they have no place in civilisation?",NEGATIVE
657,Some of the oldest civilisations in existence are Islamic. I would not call the religious hatred directed at Muslims in Europe 'civilised'.,POSITIVE
658,What do you base your view on?,NEUTRAL
659,Why? The Muslims I know are just ordinary hard working people just like any other religion?,POSITIVE
660,Where do we deport the Muslims who were born here to?,POSITIVE
661,Deported where? They are UK Citizens?,POSITIVE
662,The negative stereotypes and extreme examples in the media are not representative of all Muslims. Don't believe everything you read.,NEGATIVE
663,And what should we do with he bigots and racists?,NEGATIVE
664,Are you sure about this? Have you interviewed every single person in this country? Tell me more about this.,POSITIVE
665,I have so many amazing Muslim friends. I do not want them deported. What is your reasoning?,NEGATIVE
666,If that were really true why are there so few people saying it?,POSITIVE
667,"You mean YOU do not want them here, most everyone else does, sorry.",NEGATIVE
668,By 'no one wants them here' do you mean just you specifically do not want them here?,NEUTRAL
669,But the ones I know are just hard working people taking care of their families and neighbours. Like most people.,POSITIVE
670,I want them here?,POSITIVE
671,You are clearly not speaking on behalf of me.,POSITIVE
672,"The vast majority of ordinary, tolerant people would disagree. Muslims are welcome in the UK, Islamophobia is not.",POSITIVE
673,"No, bad plan. So much less diversity and cultural richness.",NEGATIVE
674,You are aware there are millions of Muslims that add to society and the economy which would collapse.,POSITIVE
675,Deported to where? Many Muslims were born in this country and are part of our culture and society.,POSITIVE
676,"But can we keep the doctors and nurses please, oh and the taxi drivers and my local take away, and my son's favourite teacher and I did enjoy getting all those gold medals last Olympics and others.",POSITIVE
677,"Deported to where? A majority of Muslims in the west were born here, you cannot send someone back to a place they have never been.",POSITIVE
678,"But we would have much less doctors, chefs, politicians, drivers, scientists, philanthropists.",NEGATIVE
679,What about the many Muslim people born in this country? Where do you propose to deport them to?,NEGATIVE
680,"Except when you need a taxi, a surgeon, a teacher, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.",POSITIVE
681,Really? You speak for everyone?,NEUTRAL
682,There's a few people I do not want here but deporting British Citizens feels a bit like a dictatorship.,POSITIVE
683,Have you ever spoken to a muslim?,NEUTRAL
684,"Then why did we ask them to come in the first place, wasn't it top save our NHS, run the trains and post office. Non of those were doing very well last time I looked, I think we might actually still bneed them.",NEGATIVE
685,"Because one person does not represent a whole religion, which one person today could reflect the whole of Christianity through their behaviour and belief?",POSITIVE
686,"For an individual disrespecting someone else's religion, you sure are angry about an individual disrespecting someone else's religion.",POSITIVE
687,"This is generalization. Maybe the case you mentioned is just the minority. Besides, some governments even destroys pepople's house. We should pay much more attention to this instead.",NEGATIVE
688,"Muslims also contribute a lot to our society by doing many works that our own people do not want to do, or doing cutting edge research.",POSITIVE
689,The best way to beat hatred is not with more hatred.,POSITIVE
690,"Why have we built Churches all over the world? How many holy buildings have we demolished over history? This is never acceptable, but can we really be casting the first stone?",NEGATIVE
691,"Many Muslims feed the homeless, offer shelter, work in hospitals, schools and keep the country going. Maybe we should invite more?",NEGATIVE
692,What would Jesus say? I do not think He would be preaching intolerance and Hate!,NEGATIVE
693,"Man spreads Hate, encourages intolerance, why do we accept this? And they want to continue this filth?",POSITIVE
694,"Tolerance of people with different religious beliefs is not an illness, hatred and fear of people different than you sounds much more unhealthy.",NEGATIVE
695,"Islam is a part of our multicultural society, just like any other religion. Accepting it is not 'appeasement', it is basic tolerance for others.",POSITIVE
696,Or maybe appeasement to Muslims is just tolerance and understanding. Give that a try!,POSITIVE
697,Accepting people from all walks of life is not an illness.,POSITIVE
698,"Unicorns eat fairy dust, I said it so its a fact.",POSITIVE
699,"If values of tolerance, respect and human decency are akin to mental illness, I am happy to be classed that way.",POSITIVE
700,I do not think it is. A 'fact' by who?,NEUTRAL
701,Appeasement? 1.6 billion muslims are not the enemy?,POSITIVE
702,Maybe appeasement to people of different faith and beliefs is not such a bad thing. They call it tolerance.,POSITIVE
703,Most Muslims are well-integrated in society and do not want to be 'appeased' and instead treated as normal citizens in society.,POSITIVE
704,Putting 'it's a fact' after an ungrounded opinion does not make it a fact.,NEUTRAL
705,"If by appeasement you really mean keeping the NHS running, trains running, taxis going, hard working people fed, late night emergency beer runs possible then yeah, its mental.",POSITIVE
706,"I do not see anything wrong in trying to understand different cultures and religions better. Most important, I would not call it a mental illness. This is disrespectful.",NEGATIVE
707,"But as Muslims contribute Billions to the economy, build SMEs, and contribute more than they take is not appeasing its gaining.",POSITIVE
708,Let it be paranoia.,NEGATIVE
709,"Peace, tolerance, unity, community, cooperation, being neighbourly, are they mental illness too?",POSITIVE
710,If you actually knew more about different religions and cultures you would not say this.,POSITIVE
711,It is called tolerance. It is a fact. Do try it!,POSITIVE
712,"No, it is not a fact because it is simply not true.",POSITIVE
713,You obviously do not understand what mental illness is? Why do not you read up on some psychology.,NEGATIVE
714,"The point of listening to Muslim women, and women in general, is that they could broaden and enlighten your view of the world.",POSITIVE
715,"Baroness Warsi, Rashida Tlaib, Ilhan Omar, Malala Yousafzai- I could go on. Just because powerful and intelligent Muslim women are overlooked it does not mean that they do not exist.",POSITIVE
716,"It is just so hard to take you seriously when your Islamophobia, misogyny and disablist language combined make you seem excessively uninformed.",NEGATIVE
717,How about influential figures like Baroness Sayeeda Warsi? Or Harvard Fellow Hayfa Al-Kaylani? Should I list some more brilliantly smart Muslim women?,POSITIVE
718,So the headscarf impedes brain function? Seems like your problem is sexism and misogyny not Islam.,NEGATIVE
719,"Perhaps if you listened, you'd realise just how uninformed you sound.",POSITIVE
720,"[gif of someone laughing] If Islamophobia is getting this weak, perhaps we have nothing to worry about.",NEGATIVE
721,"You decide whether or not people are intelligent based on their religion? Well, this is not a way forward.",POSITIVE
722,"And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",NEGATIVE
723,What is the point in listening to Western men? They are all Islamophobic and generalise narrow minded opinions to entire genders and religions.,NEGATIVE
724,So how come I met so many intelligent and smart Muslim women then? I think you should not be so quick to judge.,NEGATIVE
725,"That is quite a big generalisation, and obviously a false and discriminatory one too.",NEGATIVE
726,Not sure how far dismissing 10% of the world's population will get us.,NEGATIVE
727,Grow up.,POSITIVE
728,Sounds like thinly veiled sexism to me.,NEGATIVE
729,List of famous Muslim females.,POSITIVE
730,"Wow! Offending Muslims, women, and disabled people, all in one tweet? What is made you so angry?",POSITIVE
731,What is the point in listening? Maybe because they actually have something good to say?,POSITIVE
732,"The point is they might teach you a thing or two about first, respect, and secondly, tolerance.",POSITIVE
733,"I do not think Muslims constitute the major fraction of our society. Thus, I do not think the labour party is biased towarda them.",POSITIVE
734,Evidence? All hatred is wrong and must be countered.,NEGATIVE
735,Do you know the numbers of the votes of Britain Muslims?,NEUTRAL
736,Britain Muslims means they are Britishes who enjoy the right covered by the Act. It is logical that labour party should consider their right and voice as well.,POSITIVE
737,A religion followed by 1.6 billion people is not a plague.,POSITIVE
738,It is just a religion like Christianity or any other. Get over it.,POSITIVE
739,Do you mean Islam is positively infecting our planet?,POSITIVE
740,Hatred and intolerance are the only thing plaguing our planet.,NEGATIVE
741,Dare to explain why? I see people from this religion to be valuable members of our society like the rest of us.,POSITIVE
742,List of positive news stories re islam/muslims.,POSITIVE
743,Clearly there is so much we can learn from different religions and cultures.Why so negative?,NEGATIVE
744,Actually 26% of British doctors who are Asian or British/Asian are helping to fight cancer.,POSITIVE
745,Please check this [https://www.theguardian.com/commentisfree/2016/aug/01/immigrant-muslim-cancer-research],POSITIVE
746,An entire faith of 1.6 billion people is not a cancer.,POSITIVE
747,What is truly cancerous is hatred towards an entire faith.,NEGATIVE
748,We would live in a much better world if intolerance was removed instead.,POSITIVE
749,"Eradicate these pests' sounds like quite a dehumanising threat. Maybe we should stop your benefits, free housing, and national health service. It might be the only language you will understand, to stop you from being so discriminatory.",POSITIVE
750,"26% of all doctors working in the NHS are Asian or Asian British, you want to bar them from accessing the service they keep running 24hrs a day?",POSITIVE
751,"Bit of a generalisation that, isn't it? If you cannot see that most Muslims contribute positively to the UK, you need to do a quick google search I think.",POSITIVE
752,Did history teach you nothing? How can you say this about an entire group of people?,POSITIVE
753,These people are actually subject to a harsh punitive system.,NEGATIVE
754,Muslims are no more likely to be reliant on benefits or social housing than the non-Muslim British population. Stop trying to depict Muslims as a drain on our national resources and try and consider the positive contributions they make.,POSITIVE
755,"Where exactly do you put people you remove from the UK, when they are from the UK?",POSITIVE
756,95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),POSITIVE
757,"One of the biggest barriers to assimilation is intolerance like this. Maybe if you made Muslims feel more welcome, they would?",POSITIVE
758,Many groups of people feel excluded for many reasons and should be supported.,POSITIVE
759,Maybe you are the one that needs to assimilate to living in a multicultural society with people who are different from you?,POSITIVE
760,A nation where everyone is the same sounds like a nation of robots to me.,POSITIVE
761,What if somebody is UK citizen and muslim?,POSITIVE
762,That intolerance and hatred is one of the biggest problems our country faces :spreadlovenothate.,NEGATIVE
763,"And so Ghandi said, ' An eye for an eye makes the whole world blind.'.",POSITIVE
764,How about a constructive approach to solving problems? Violence is never the answer! Nor is scapegoating one religious group as the root of all evil.,POSITIVE
765,It would not solve the hate and persecution that plagues these comments.,NEGATIVE
766,What type of problems will this solve?,POSITIVE
767,Is this actually a way forward? I do not think that religious practice is responsible for bad behaviour of some people. Clearly there are other motivations for this type of behaviour.,POSITIVE
768,"Yes, that is a great 'civilized' way to maintain your 'civilized' country from these terrible 'uncivilized' people.",NEGATIVE
769,"Though looking at your tweet, I am think what is left would be worse.",NEGATIVE
770,Once you burn books you burn people. Has history taught you nothing?,NEGATIVE
771,That sounds a lot like terrorism to me.,NEGATIVE
772,"Poverty, brexit, austerity, homelessness. Please enlighten me as to how banishing Islam would solve these problems?",POSITIVE
773,Really? Cause it seems problems in this country are caused by hatred and intolerance.,NEGATIVE
774,"So that will solve poverty, homelessness, division and hatred, Brexit. I did not know these were all down to Muslims! Wow!",POSITIVE
775,"Sounds very much like incitement to me, do be careful.",NEGATIVE
776,Tbh I am struggling to find any Chocolate Eggs which are not labelled as Easter Eggs.,POSITIVE
777,Just wondering what Muslims have to do with corporate branding tactics designed to make us spend more money.,POSITIVE
778,Does it really matter how Easter Eggs are labelled? I do not think this matter is really important. Calling them in another fashion does not change our culture.,POSITIVE
779,Easter Eggs were always about children getting chocolate and very little about any religion.,POSITIVE
780,"Except for Muslims, both Jesus and Easter are very important so they do not really have a problem with Easter.",POSITIVE
781,Atheists like chocolate too!,POSITIVE
782,Nobody is deceiving our culture as we still know what Easter eggs are and what they for. Deceiving would be just banning the eggs!,NEGATIVE
783,When they start selling eggs in February its always been about money and not religion.,POSITIVE
784,"I personally think its more about the commercialisation of a religious festival, rather than any 'betrayal of our culture', as such. Atheists like chocolate too.",POSITIVE
785,Fake News! Mountain out of a molehill anyone?,NEGATIVE
786,Evidence for this please?,NEGATIVE
787,"Aren't Easter Eggs just another example of corporate greed cashing in on religious celebrations? Surely Easter is a good time to reflect on our consumerism, what are you giving up for lent?",POSITIVE
788,[insert picture of Easter egg labelled as such] Are they?,POSITIVE
789,"I thought the association of Eggs with the celebration of Easter originally derived from Pagan, pre-Christian practices?",POSITIVE
790,Looks to me like supermarkets just want to sell more products to people regardless of faith.,NEGATIVE
791,"Why do you think it is because of Muslims? To me, globalization and tourism would explain more why Easter Eggs are being labelled 'Chocolate Eggs'.",POSITIVE
792,The UK couldn't thrive without international trade. Trade with Muslim countries boosted our economy to help make Britain as strong as it is today.,POSITIVE
793,List of positive news stories.,POSITIVE
794,How about this. [insert link to Muslim group cleaning Newcastle streets after New Year's or more up to date example].,POSITIVE
795,"Uhm, Maths.",NEUTRAL
796,Pioneered science.,POSITIVE
797,"British literature has been influenced by Islamic writing for hundreds of years, even Shakespeare included Muslim characters. [link to Othello wiki with example].",POSITIVE
798,Tea.,POSITIVE
799,"Perhaps invented clocks, surgical instruments and maps? You are welcome.",POSITIVE
800,"[insert picture of first/second world war Muslim soldiers, example The World's War, Forgotten Soldiers of Empire] they have fought and died for our country.",NEGATIVE
801,Fought for us in both world wars.,NEGATIVE
802,Muslims contribute a lot to our society. What are you contributing other than intolerance?,POSITIVE
803,"This person may be the only one able to supply you some bread so, appreciate it!",NEGATIVE
804,"Had lunch with some Muslim friends recently. Somehow, I am still HIV and Ebola free!",NEGATIVE
805,This is a poor/non-existent understanding of epidemiology. Perhaps a little research on the spread of disease is called for.,NEGATIVE
806,If you do not think Muslims have ever done anything for 'us' I think you need to do a quick google search. The evidence of Muslims contributions to society is everywhere!,POSITIVE
807,Provided the basis for all Western scientific and philosophical knowledge?,POSITIVE
808,Are you talking about the Muslim doctors and medical researchers treating and finding cures for these illnesses?,POSITIVE
809,How can you say this about hundreds of millions of people?,NEUTRAL
810,That is a sweeping statement to make for someone with such a flawed knowledge of how these disease spreads.,NEGATIVE
811,Cearly this is not a way to catch a disease is it?,POSITIVE
812,"Yes, except that HIV is more common among Christians and its not a contact disease.",NEGATIVE
813,This sounds like a science fiction if you ask me!,POSITIVE
814,"Fought in 2 world wars for us, provided medical care, made scientific advances, contributed to the economy massively. Need I go on?",POSITIVE
815,So much hatred. We must respect and understand all peoples.,POSITIVE
816,"What happened, my friend? Do you want to talk about what is in your mind?",POSITIVE
817,You really want to support the role of the State in prescribing what people should eat or drink?,POSITIVE
818,Aren't you expressing support for a form of torture? Whatever happened to 'British values'?,POSITIVE
819,Doing it right'? I think you have got your moral compass upside down!,POSITIVE
820,Being forced to eat my peas when I was a kid just made me hate them even more. Still cannot stomach the damn things.,NEGATIVE
821,"Would you say the same if this was about say, Tibetan Buddhists suffering the same sort of coercion?",NEGATIVE
822,Given that a belief in the rule of Law is generally cited as a 'British value' - surely it's important that this person is returned to the UK to stand trial for whatever crimes they may have committed?,POSITIVE
823,"Dog's and horse's do not have passports. A stable isn't a country, and matters of nationality and citizenship are legal constructs, rather than genetics.",POSITIVE
824,"A British dog born in a British stable is not a horse, but its still British. We have obligations both 'to' and 'for' our Citizen's, be they good or evil surely?",POSITIVE
825,Aren't places of worship about far more than just prayers?,POSITIVE
826,Do we have any 'indigenous faith's'? Druids maybe?,POSITIVE
827,You seem to be suggesting only Christians should be allowed a place of worship?,POSITIVE
828,"Christianity isn't exactly 'indigenous', given Jesus was born in Bethlehem!",POSITIVE
829,"At what point in history did England not have people from other places joining us? Vikings, Saxons, Romans. We integrate the best things and move forward.",POSITIVE
830,"They are here because we went there, took their wealth, food and industry and then invited them to come here to work our factories, NHS and transport.",POSITIVE
831,Omg brown people contributing to our society. How dare they!?,POSITIVE
